Title,Year,IMDb,Actor,Actress,Directors
Article 15,2019,8.2/10,Ayushmann Khurrana,Sumbul Touqeer,Anubhav Sinha
Talvar,2015,8.2/10,Irrfan Khan,Konkona Sen,Meghna Gulzar
Special 26,2013,8.0/10,Akshay Kumar,Kajal Aggarawal,Neeraj Pandey
Kabhi Khushi Kabhie Gham,2001,7.4/10,Shah Rukh Khan,Kajol,Karan Johar
Pad Man,2018,7.9/10,Akshay Kumar,Radhika Apte,R. Balki
3 Idiots,2009,8.4/10,Aamir Khan,Kareena Kapoor,Rajkumar Hirani
Kal Ho Naa Ho,2003,7.9/10,Shah Rukh Khan,Prety Zinta,Nikkhil Advani
Kapoor & Sons,2016,7.7/10,Siddharth Malhotra,Alia Bhatt,Shakun Batra
Bareilly Barfi,2017,7.5/10,Ayushmann Khurrana,Kriti Sanon,Ashwiny Iyer Tiwari
Badla,2019,7.8/10,Shah Rukh Khan,Taapsee Pannu,Sujoy Ghosh
Andhadhun,2018,8.2/10,Ayushmann Khurrana,Radhika Apte,Sriram Raghavan
PK,2015,8.1/10,Aamir Khan,Anushka Sharma,Rajkumar Hirani
Pink,2016,8.1/10,Amitabh Bachchan,Taapsee Pannu,Aniruddha Roy Chowdhury
Petta,2019,7.3/10,Rajinikanth,Trisha,Karthik Subbaraj
Secret Superstar,2017,7.8/10,Aamir Khan,Zaira Wasim,Advait Chandan
Raja Hindustani,1996,6.2/10,Aamir Khan,Karishma Kapoor,Dharmesh Darshan
Dil Se..,1998,7.6/10,Shah Rukh Khan,Monisha Koirala,Mani Ratnam
Phir Bhi Dil Hai Hindustani,2000,6.2/10,Shah Rukh Khan,Juhi Chawala,Aziz Mirza
Mann,1999,6.2/10,Aamir Khan,Monisha Koirala,Indra Kumar
Kuch Kuch Hota Hai,1998,7.6/10,Shah Rukh Khan,Kajol,Karan Johar
Om Shanti Om,2007,6.7/10,Shah Rukh Khan,Deepik Padukon,Farah Khan
Kesari,2019,7.4/10,Akshay Kumar,Parineeti Chopra,Anurag Singh
Raman Raghav 2.0,2016,7.4/10,Vicky Kaushal,Sobhita Dhulipala,Anurag Kashyap
Boss,2013,5.1/10,Akshay Kumar,Adity Rao Hydari,Brad Furman
Gabbar Is Back,2015,7.1/10,Akshay Kumar,Kareena Kapoor,Radha Krishna Jagarlamudi
Dangal,2016,8.4/10,Aamir Khan,Zaira Wasim,Nitesh Tiwari